id_cliente,nombre,email,edad,ciudad,salario,fecha_registro,categoria,telefono,activo,puntos_fidelidad,ultima_compra
31,Cliente_31,cliente31@email.com,17.0,Sevilla,49037.65773814694,2020-12-22 22:25:26.825944,G,+34 630361580,1,500,2024-03-18 22:25:26.833943
32,Cliente_32,cliente32@email.com,65.0,Valencia,40466.05692224181,2020-03-21 22:25:26.825944,D,+34 654457551,True,N/A,2024-04-05 22:25:26.833943
33,Cliente_33,cliente33@email.com,,Madrid,77129.50465931698,2020-10-16 22:25:26.825944,B,+34 680787463,1,-1,2024-12-13 22:25:26.833943
34,Cliente_34,correo_no_valido,35.0,Málaga,30495.40564448696,2019-03-31 22:25:26.825944,E,+34 608821437,False,100,2024-02-02 22:25:26.833943
35,Cliente_35,correo_no_valido,53.0,Valencia,5539.899488771036,2018-12-23 22:25:26.825944,INVALID,+34 688200976,1,500,2024-12-31 22:25:26.833943
36,Cliente_36,cliente36@email.com,32.0,Bilbao,32564.564573523287,2019-07-22 22:25:26.825944,G,+34 667342864,1,300,2024-05-18 22:25:26.833943
37,Cliente_37,cliente37@email.com,18.0,Valencia,-6246.776478187348,2021-06-27 22:25:26.825944,INVALID,+34 692596825,True,500,2023-11-06 22:25:26.833943
38,Cliente_38,cliente38@email.com,74.0,Barcelona,22003.441127032296,2021-03-12 22:25:26.825944,A,+34 695298192,No,200,2024-02-23 22:25:26.833943
39,Cliente_39,cliente39@email.com,28.0,Madrid,54365.73087900318,2017-08-23 22:25:26.825944,D,+34 694879909,1,N/A,2025-07-17 22:25:26.833943
40,Cliente_40,cliente40@email.com,23.0,Barcelona,34877.00472947657,2019-01-29 22:25:26.825944,INVALID,+34 662640623,0,N/A,No registrada
41,Cliente_41,cliente41@email.com,veinticinco,Barcelona,32691.25219246903,2020-07-05 22:25:26.825944,A,+34 657475661,1,NULL,2024-11-11 22:25:26.833943
42,Cliente_42,cliente42@email.com,16.0,Bilbao,57311.70565073035,2020-03-11 22:25:26.825944,B,+34 628529068,No,N/A,2025-05-06 22:25:26.833943
43,Cliente_43,cliente43@email.com,veinticinco,Madrid,25941.001625049452,2018-03-21 22:25:26.825944,B,+34 613693090,True,N/A,2024-11-12 22:25:26.833943
44,Cliente_44,cliente44@email.com,58.0,Madrid,48927.30619401163,2015-11-11 22:25:26.825944,E,+34 610688877,No,N/A,2023-12-28 22:25:26.833943
45,Cliente_45,correo_no_valido,veinticinco,Desconocido,31939.604627495108,2022-09-14 22:25:26.825944,INVALID,+34 625732334,True,N/A,2025-08-27 22:25:26.833943
46,Cliente_46,cliente46@email.com,,Madrid,35700.711951885394,2019-06-23 22:25:26.825944,E,+34 662701639,False,100,2025-01-15 22:25:26.833943
47,Cliente_47,cliente47@email.com,49.0,Madrid,11740.427162054806,2021-07-05 22:25:26.825944,F,+34 660011150,True,300,2023-12-12 22:25:26.833943
48,Cliente_48,cliente48@email.com,50.0,Madrid,22769.298077576746,2018-12-29 22:25:26.825944,G,+34 647775541,False,NULL,2025-05-06 22:25:26.833943
49,Cliente_49,cliente49@email.com,64.0,Bilbao,9037.226507341897,2016-05-12 22:25:26.825944,INVALID,+34 651039740,False,N/A,2024-07-25 22:25:26.833943
50,Cliente_50,cliente50@email.com,18.0,Valencia,28571.323826619824,2016-08-16 22:25:26.825944,B,+34 641279258,True,NULL,2024-08-26 22:25:26.833943
51,Cliente_51,cliente51@email.com,16.0,Desconocido,35856.035158744,2015-11-10 22:25:26.825944,D,+34 601097996,0,300,2024-07-27 22:25:26.833943
52,Cliente_52,cliente52@email.com,20.0,Barcelona,13349.428423628218,2018-08-06 22:25:26.825944,A,+34 692874480,Sí,-1,2023-12-23 22:25:26.833943
53,Cliente_53,cliente53@email.com,68.0,Madrid,60737.68384027235,2019-01-05 22:25:26.825944,C,+34 694643444,True,N/A,2024-05-18 22:25:26.833943
54,Cliente_54,cliente54@email.com,veinticinco,NULL,34171.59028637941,2019-08-29 22:25:26.825944,E,+34 671926775,1,NULL,2025-08-29 22:25:26.833943
55,Cliente_55,cliente55@email.com,68.0,Valencia,30866.933783778288,2018-04-12 22:25:26.825944,C,+34 671967803,0,500,2025-10-13 22:25:26.833943
56,Cliente_56,cliente56@email.com,77.0,Valencia,41544.86627018438,2019-05-29 22:25:26.825944,INVALID,+34 698565828,0,NULL,2024-03-01 22:25:26.833943
57,Cliente_57,cliente57@email.com,veinticinco,Barcelona,17566.07878701117,2020-07-19 22:25:26.825944,D,+34 660422713,1,N/A,2024-10-15 22:25:26.833943
58,Cliente_58,cliente58@email.com,58.0,Bilbao,32452.1621875118,2016-10-26 22:25:26.825944,E,+34 662325142,Sí,200,2024-02-27 22:25:26.833943
59,Cliente_59,cliente59@email.com,veinticinco,Sevilla,19247.006694636133,2021-01-10 22:25:26.825944,C,+34 601383640,0,100,2024-04-23 22:25:26.833943
60,Cliente_60,cliente60@email.com,veinticinco,Sevilla,53380.19865133474,2020-03-23 22:25:26.825944,G,+34 634068385,False,500,2025-09-25 22:25:26.833943
61,Cliente_61,cliente61@email.com,veinticinco,Valencia,14120.40975904378,2023-13-45,D,+34 606051865,Sí,500,2025-01-22 22:25:26.833943
62,Cliente_62,cliente62@email.com,62.0,Málaga,30947.481889607603,2021-08-14 22:25:26.825944,A,+34 629404164,1,200,2024-03-11 22:25:26.833943
63,Cliente_63,cliente63@email.com,29.0,Málaga,34939.73677727664,2022-10-13 22:25:26.825944,G,+34 606434323,Sí,N/A,2024-03-16 22:25:26.833943
64,Cliente_64,cliente64@email.com,veinticinco,Barcelona,35922.386166115524,2018-10-23 22:25:26.825944,D,+34 621340869,True,100,2024-12-02 22:25:26.833943
65,Cliente_65,cliente65@email.com,54.0,Sevilla,21281.472403757514,2016-04-04 22:25:26.825944,F,+34 600685503,Sí,500,2025-04-29 22:25:26.833943
66,Cliente_66,cliente66@email.com,67.0,Valencia,16567.358967823533,2024-06-28 22:25:26.825944,E,+34 610311825,False,100,2024-01-02 22:25:26.833943
67,Cliente_67,cliente67@email.com,38.0,Bilbao,21498.072404308514,2016-10-14 22:25:26.825944,B,+34 684223363,True,500,2025-03-05 22:25:26.833943
68,Cliente_68,cliente68@email.com,40.0,Sevilla,37924.881513154236,2024-02-22 22:25:26.825944,A,+34 693852920,No,N/A,2025-08-22 22:25:26.833943
69,Cliente_69,cliente69@email.com,74.0,Valencia,27842.313436320546,2016-12-27 22:25:26.825944,INVALID,+34 604777421,1,-1,2024-07-12 22:25:26.833943
70,Cliente_70,cliente70@email.com,55.0,Valencia,41943.13212678782,2019-04-30 22:25:26.825944,G,+34 625557004,1,500,2024-04-21 22:25:26.833943
71,Cliente_71,cliente71@email.com,43.0,Madrid,37155.0557909261,2019-04-28 22:25:26.825944,G,+34 622473606,Sí,-1,2025-07-25 22:25:26.833943
72,Cliente_72,cliente72@email.com,29.0,Bilbao,-4153.690471494119,2020-02-05 22:25:26.825944,C,+34 649035647,0,500,No registrada
73,Cliente_73,cliente73@email.com,59.0,Madrid,33712.46695255816,2021-08-09 22:25:26.825944,E,+34 687585323,True,300,2025-05-11 22:25:26.833943
74,Cliente_74,cliente74@email.com,79.0,Barcelona,63756.821517244054,2023-06-24 22:25:26.825944,INVALID,+34 697102710,No,N/A,2025-03-10 22:25:26.833943
75,Cliente_75,cliente75@email.com,23.0,Madrid,49879.03576557497,2021-03-17 22:25:26.825944,B,+34 652829582,True,200,No registrada
76,Cliente_76,cliente76@email.com,15.0,NULL,36330.19741060453,2016-01-31 22:25:26.825944,D,+34 681801234,1,-1,2025-07-27 22:25:26.833943
77,Cliente_77,cliente77@email.com,22.0,Madrid,14109.118042950842,2021-06-11 22:25:26.825944,B,+34 604218346,True,200,2024-06-26 22:25:26.833943
78,Cliente_78,cliente78@email.com,,NULL,37163.30574188469,2019-06-28 22:25:26.825944,E,+34 654934254,No,N/A,2024-06-07 22:25:26.833943
79,Cliente_79,correo_no_valido,,Sevilla,41096.24909817388,2024-04-02 22:25:26.825944,E,+34 623741419,0,NULL,2025-01-10 22:25:26.833943
80,Cliente_80,cliente80@email.com,22.0,Málaga,26193.799787586242,2020-08-30 22:25:26.825944,F,+34 625061794,Sí,200,2025-04-06 22:25:26.833943
81,Cliente_81,cliente81@email.com,veinticinco,Desconocido,34751.130882066565,2022-05-07 22:25:26.825944,F,+34 661431120,False,N/A,2025-07-03 22:25:26.833943
82,Cliente_82,cliente82@email.com,49.0,Desconocido,52644.936875940606,2018-09-13 22:25:26.825944,B,+34 699797410,True,200,2025-03-19 22:25:26.833943
83,Cliente_83,cliente83@email.com,veinticinco,Valencia,17140.88370387411,2018-04-30 22:25:26.825944,D,+34 646884754,False,-1,2024-03-19 22:25:26.833943
84,Cliente_84,cliente84@email.com,19.0,Desconocido,14125.505925613097,2020-10-04 22:25:26.825944,B,+34 654675347,1,300,2024-01-17 22:25:26.833943
85,Cliente_85,cliente85@email.com,55.0,NULL,40390.48988991319,2017-03-08 22:25:26.825944,E,+34 683379811,Sí,200,2024-10-11 22:25:26.833943
86,Cliente_86,cliente86@email.com,42.0,Bilbao,36863.13954297121,2019-01-05 22:25:26.825944,E,+34 611524217,Sí,-1,2025-06-16 22:25:26.833943
87,Cliente_87,cliente87@email.com,21.0,Madrid,45432.57443119217,2017-06-13 22:25:26.825944,C,+34 690812847,True,500,2024-05-11 22:25:26.833943
88,Cliente_88,cliente88@email.com,26.0,NULL,38546.90717855655,2023-13-45,F,+34 666725931,0,N/A,2024-10-08 22:25:26.833943
89,Cliente_89,cliente89@email.com,48.0,Bilbao,21483.674052387094,2022-08-28 22:25:26.825944,INVALID,+34 609324391,Sí,100,No registrada
90,Cliente_90,cliente90@email.com,47.0,Málaga,36482.88977198107,2024-11-11 22:25:26.825944,INVALID,+34 630717847,True,NULL,2025-10-22 22:25:26.833943
91,Cliente_91,cliente91@email.com,62.0,Desconocido,12868.101850557396,2021-05-23 22:25:26.825944,INVALID,+34 677657404,True,100,2024-10-10 22:25:26.833943
92,Cliente_92,cliente92@email.com,37.0,Málaga,26245.21932400509,2019-06-26 22:25:26.825944,C,+34 602906492,False,N/A,2024-12-01 22:25:26.833943
93,Cliente_93,cliente93@email.com,76.0,Desconocido,37541.98846449606,2017-05-18 22:25:26.825944,A,+34 622919530,Sí,300,2024-06-15 22:25:26.833943
94,Cliente_94,cliente94@email.com,veinticinco,Madrid,24592.286749141655,2020-05-06 22:25:26.825944,INVALID,+34 652073536,True,200,No registrada
95,,cliente95@email.com,58.0,Barcelona,67020.78273344741,2019-05-20 22:25:26.825944,E,+34 628412258,False,300,2025-10-02 22:25:26.833943
96,Cliente_96,cliente96@email.com,49.0,Madrid,1617.2362676449957,2023-06-17 22:25:26.825944,C,+34 647878943,No,100,2025-08-21 22:25:26.833943
97,,cliente97@email.com,79.0,Sevilla,106227.69804161054,2023-06-01 22:25:26.825944,B,+34 600122019,False,NULL,2025-05-16 22:25:26.833943
98,Cliente_98,cliente98@email.com,61.0,NULL,15933.302491951345,2020-05-11 22:25:26.825944,F,+34 629731980,False,-1,No registrada
99,Cliente_99,cliente99@email.com,veinticinco,Valencia,19494.7678881307,2019-10-24 22:25:26.825944,F,+34 601765317,True,NULL,2024-11-06 22:25:26.833943
100,Cliente_100,cliente100@email.com,15.0,Barcelona,20355.02664778682,2021-12-20 22:25:26.825944,D,+34 684065081,1,N/A,2024-01-24 22:25:26.833943
101,Cliente_101,cliente101@email.com,veinticinco,Madrid,10103.689697115104,2022-04-29 22:25:26.825944,B,+34 628058751,1,N/A,2024-08-27 22:25:26.833943
102,Cliente_102,correo_no_valido,28.0,Bilbao,41290.53222858941,2024-02-22 22:25:26.825944,D,+34 608202637,0,300,2025-07-26 22:25:26.833943
103,Cliente_103,cliente103@email.com,41.0,Barcelona,21793.57053919348,2023-06-04 22:25:26.825944,C,+34 632676719,1,-1,No registrada
104,Cliente_104,cliente104@email.com,23.0,NULL,32453.60003382982,2023-08-29 22:25:26.825944,G,+34 687013102,False,300,2025-10-25 22:25:26.833943
105,Cliente_105,cliente105@email.com,29.0,Desconocido,23477.613571346326,2015-11-13 22:25:26.825944,INVALID,+34 629014013,0,200,2024-04-08 22:25:26.833943
106,Cliente_106,cliente106@email.com,56.0,Barcelona,19636.793815706853,2019-11-22 22:25:26.825944,A,+34 602416826,True,500,2023-12-07 22:25:26.833943
107,Cliente_107,cliente107@email.com,65.0,Desconocido,55084.18854130274,2016-06-17 22:25:26.825944,B,+34 663574747,Sí,-1,2025-10-05 22:25:26.833943
108,Cliente_108,correo_no_valido,77.0,NULL,43843.98273314112,2022-04-16 22:25:26.825944,B,+34 604290447,False,500,2025-07-12 22:25:26.833943
109,Cliente_109,cliente109@email.com,66.0,Madrid,1976.9940006728284,2024-02-23 22:25:26.826943,B,+34 645806781,False,NULL,2024-07-29 22:25:26.833943
110,Cliente_110,cliente110@email.com,18.0,NULL,387.93827496169615,2020-10-25 22:25:26.826943,D,+34 600144771,0,200,2025-06-13 22:25:26.833943
111,Cliente_111,cliente111@email.com,,Barcelona,45639.1325345473,2025-03-03 22:25:26.826943,C,+34 655546284,True,500,2024-10-09 22:25:26.833943
112,Cliente_112,cliente112@email.com,29.0,Bilbao,22202.19912676869,2017-11-29 22:25:26.826943,B,+34 605749593,No,100,2024-02-10 22:25:26.833943
113,Cliente_113,cliente113@email.com,57.0,Málaga,5263.7649909866595,2019-01-01 22:25:26.826943,G,+34 651340571,False,NULL,2023-12-22 22:25:26.833943
114,Cliente_114,cliente114@email.com,43.0,Barcelona,45686.02698810511,2023-04-18 22:25:26.826943,B,+34 678495583,No,500,2025-05-30 22:25:26.833943
115,Cliente_115,cliente115@email.com,veinticinco,NULL,32536.860751486354,2022-05-12 22:25:26.826943,F,+34 618598124,No,200,2024-12-03 22:25:26.834944
116,Cliente_116,cliente116@email.com,27.0,Málaga,33773.56627248479,2024-06-01 22:25:26.826943,INVALID,+34 697129665,1,500,2025-02-16 22:25:26.834944
117,Cliente_117,cliente117@email.com,46.0,NULL,42143.08908008861,2017-01-16 22:25:26.826943,A,+34 608499970,True,N/A,2025-08-13 22:25:26.834944
118,Cliente_118,cliente118@email.com,73.0,Bilbao,10350.342625764097,2019-03-30 22:25:26.826943,INVALID,+34 654248181,No,300,2024-08-19 22:25:26.834944
119,Cliente_119,correo_no_valido,veinticinco,NULL,5527.487679237529,2025-10-26 22:25:26.826943,F,+34 622311047,True,100,2025-05-15 22:25:26.834944
120,Cliente_120,cliente120@email.com,56.0,Madrid,53714.31442354803,2018-12-04 22:25:26.826943,F,+34 610425111,1,N/A,2025-03-17 22:25:26.834944
121,Cliente_121,cliente121@email.com,59.0,Valencia,8442.498588865612,2016-06-19 22:25:26.826943,A,+34 654702250,True,N/A,2023-11-14 22:25:26.834944
122,Cliente_122,cliente122@email.com,veinticinco,Desconocido,11666.433043866538,2020-04-23 22:25:26.826943,G,+34 653012638,False,200,2025-08-20 22:25:26.834944
123,Cliente_123,cliente123@email.com,71.0,Desconocido,14663.469306813508,2024-06-26 22:25:26.826943,C,+34 688553672,No,300,2025-02-06 22:25:26.834944
124,,cliente124@email.com,,Barcelona,61199.18885535783,2021-05-18 22:25:26.826943,F,+34 602362854,True,300,No registrada
125,Cliente_125,cliente125@email.com,42.0,Valencia,37400.74950617284,2017-12-14 22:25:26.826943,C,+34 607284268,Sí,-1,2025-09-02 22:25:26.834944
126,Cliente_126,cliente126@email.com,42.0,NULL,44481.119616530705,2016-04-05 22:25:26.826943,F,+34 648025351,True,NULL,2024-12-18 22:25:26.834944
127,Cliente_127,cliente127@email.com,58.0,Bilbao,32942.51318368093,2023-13-45,E,+34 681451590,No,100,2025-07-24 22:25:26.834944
128,Cliente_128,cliente128@email.com,44.0,Barcelona,20971.691831981494,2018-08-11 22:25:26.826943,A,+34 643682162,1,NULL,2024-08-31 22:25:26.834944
129,Cliente_129,cliente129@email.com,76.0,NULL,39469.36924890252,2025-04-30 22:25:26.826943,F,+34 619828838,1,200,2023-11-12 22:25:26.834944
130,Cliente_130,correo_no_valido,,Málaga,6650.76043804795,2018-03-03 22:25:26.826943,E,+34 644729321,No,100,2025-02-21 22:25:26.834944
131,Cliente_131,cliente131@email.com,15.0,Sevilla,13570.748218552577,2020-09-12 22:25:26.826943,INVALID,+34 617552508,False,-1,2024-05-20 22:25:26.834944
132,Cliente_132,cliente132@email.com,41.0,NULL,40994.62768892222,2019-12-24 22:25:26.826943,D,+34 620704568,False,500,2024-04-12 22:25:26.834944
133,Cliente_133,correo_no_valido,76.0,Valencia,9641.1715375983,2025-08-09 22:25:26.826943,E,+34 619110863,1,N/A,2025-07-14 22:25:26.834944
134,Cliente_134,cliente134@email.com,17.0,Barcelona,27163.7779625719,2017-04-23 22:25:26.826943,B,+34 610298825,1,100,2024-12-25 22:25:26.834944
135,,cliente135@email.com,41.0,Valencia,27847.314834668825,2025-06-19 22:25:26.826943,F,+34 609989349,No,NULL,2024-07-30 22:25:26.834944
136,Cliente_136,cliente136@email.com,23.0,Barcelona,22070.069949942572,2019-01-30 22:25:26.826943,E,+34 600189073,False,N/A,2023-11-26 22:25:26.834944
137,,cliente137@email.com,76.0,NULL,733.2228772671442,2020-01-12 22:25:26.826943,C,+34 650690929,1,200,2024-07-29 22:25:26.834944
138,Cliente_138,cliente138@email.com,51.0,Madrid,20566.06663216961,2015-12-06 22:25:26.826943,D,+34 691002052,False,NULL,2025-08-03 22:25:26.834944
139,Cliente_139,cliente139@email.com,veinticinco,Málaga,17625.474346012717,2021-05-11 22:25:26.826943,G,+34 695382236,1,500,2025-09-12 22:25:26.834944
140,Cliente_140,cliente140@email.com,veinticinco,NULL,32421.59794931548,2016-01-11 22:25:26.826943,F,+34 699762598,True,200,2024-06-01 22:25:26.834944
141,Cliente_141,cliente141@email.com,38.0,Desconocido,31657.35808049203,2017-01-01 22:25:26.826943,B,+34 654745659,Sí,500,2025-07-28 22:25:26.834944
142,Cliente_142,cliente142@email.com,73.0,Valencia,35669.42189905311,2016-09-24 22:25:26.826943,G,+34 627504225,0,500,2025-03-12 22:25:26.834944
143,Cliente_143,cliente143@email.com,46.0,Sevilla,19860.205905384035,2019-10-07 22:25:26.826943,E,+34 651417258,True,N/A,2024-10-25 22:25:26.834944
144,Cliente_144,cliente144@email.com,66.0,Sevilla,37841.669256988374,2021-01-16 22:25:26.826943,G,+34 679863165,0,200,2024-04-01 22:25:26.834944
145,Cliente_145,cliente145@email.com,76.0,Bilbao,6659.899008394754,2019-10-08 22:25:26.826943,G,+34 692068012,1,200,2024-04-25 22:25:26.834944
146,Cliente_146,cliente146@email.com,72.0,Barcelona,2671.429010214688,2020-12-11 22:25:26.826943,D,+34 607752342,Sí,100,2024-01-24 22:25:26.834944
147,Cliente_147,cliente147@email.com,66.0,Valencia,-5033.590862499419,2023-06-15 22:25:26.826943,INVALID,+34 687744964,Sí,NULL,2025-03-14 22:25:26.834944
148,Cliente_148,cliente148@email.com,26.0,Bilbao,22510.54140642004,2019-05-09 22:25:26.826943,G,+34 634613597,1,200,2025-10-02 22:25:26.834944
149,Cliente_149,cliente149@email.com,53.0,Valencia,18700.526634921636,2015-11-17 22:25:26.826943,G,+34 638854533,1,100,2025-01-18 22:25:26.834944
150,Cliente_150,cliente150@email.com,16.0,Desconocido,41839.734177819,2018-12-26 22:25:26.826943,F,+34 624373175,False,300,2024-02-04 22:25:26.834944
151,Cliente_151,cliente151@email.com,17.0,Barcelona,20270.06119426695,2023-04-04 22:25:26.826943,INVALID,+34 603933817,1,300,2024-04-03 22:25:26.834944
152,Cliente_152,cliente152@email.com,70.0,NULL,34100.645219164006,2021-05-21 22:25:26.826943,D,+34 679003644,No,300,2024-05-10 22:25:26.834944
153,Cliente_153,cliente153@email.com,,NULL,42199.448648746155,2018-01-26 22:25:26.826943,B,+34 659546219,1,-1,2025-07-12 22:25:26.834944
154,Cliente_154,cliente154@email.com,16.0,Sevilla,19705.213865263264,2018-07-22 22:25:26.826943,E,+34 617353731,No,200,2025-04-13 22:25:26.834944
155,Cliente_155,cliente155@email.com,16.0,NULL,34470.78315160763,2017-01-02 22:25:26.826943,D,+34 677859932,1,-1,2025-10-05 22:25:26.834944
156,Cliente_156,cliente156@email.com,,NULL,45028.91323432792,2017-10-19 22:25:26.826943,D,+34 637841814,False,NULL,2024-01-30 22:25:26.834944
157,Cliente_157,cliente157@email.com,15.0,Desconocido,11427.558377916492,2024-11-19 22:25:26.826943,A,+34 602050053,No,200,2024-07-17 22:25:26.834944
158,Cliente_158,cliente158@email.com,33.0,Madrid,30372.785073669664,2016-03-12 22:25:26.826943,D,+34 605021983,True,100,2023-12-07 22:25:26.834944
159,Cliente_159,cliente159@email.com,16.0,Sevilla,19769.484252010283,2021-04-01 22:25:26.826943,INVALID,+34 601985681,No,-1,2025-02-23 22:25:26.834944
160,Cliente_160,cliente160@email.com,67.0,Bilbao,12382.651762602924,2022-07-25 22:25:26.826943,A,+34 665586599,False,-1,2024-10-13 22:25:26.834944
161,Cliente_161,cliente161@email.com,58.0,Málaga,-49747.0817562402,2025-10-24 22:25:26.826943,E,+34 669670777,0,NULL,2025-09-02 22:25:26.834944
162,Cliente_162,correo_no_valido,46.0,Madrid,12140.27141731949,2018-03-17 22:25:26.826943,G,+34 660539487,No,-1,2024-06-06 22:25:26.834944
163,Cliente_163,cliente163@email.com,46.0,Bilbao,30900.435086280184,2016-09-14 22:25:26.826943,F,+34 645278419,1,500,No registrada
164,Cliente_164,cliente164@email.com,69.0,Barcelona,5837.333166573801,2021-11-02 22:25:26.826943,F,+34 654594159,1,100,2024-04-02 22:25:26.834944
165,Cliente_165,cliente165@email.com,70.0,Madrid,21739.09463867044,2016-10-02 22:25:26.826943,E,+34 640180087,0,300,2024-05-15 22:25:26.834944
166,Cliente_166,cliente166@email.com,31.0,Desconocido,42197.91610279346,2024-01-06 22:25:26.826943,E,+34 634443130,False,100,2023-12-13 22:25:26.834944
167,Cliente_167,cliente167@email.com,52.0,Bilbao,36735.164451284036,2018-09-27 22:25:26.826943,INVALID,+34 694483266,Sí,500,2025-06-15 22:25:26.834944
168,Cliente_168,cliente168@email.com,38.0,Barcelona,22042.385655927646,2021-09-02 22:25:26.826943,C,+34 668668521,1,NULL,2025-01-07 22:25:26.834944
169,Cliente_169,cliente169@email.com,25.0,Sevilla,424070.7360754164,2019-11-18 22:25:26.826943,G,+34 627397770,True,NULL,2023-12-29 22:25:26.834944
170,Cliente_170,cliente170@email.com,30.0,Málaga,126940.37563214343,2024-03-12 22:25:26.826943,E,+34 641252240,False,200,2024-12-27 22:25:26.834944
171,Cliente_171,cliente171@email.com,73.0,Barcelona,30391.836473095886,2018-07-30 22:25:26.826943,D,+34 639492703,No,100,No registrada
